OP,A1,A2,A3,A4,A5
+,5392,978,5491,2251,6453
+,5018,798,6371,5420,8781
+,2855,7833,499,2999,7477
+,8108,5736,5953,7643,4476
+,2004,2407,7176,5773,8372
+,3061,4962,8698,8546,1813
+,156,7449,8335,5092,8723
+,1092,5688,6082,1219,6218
+,4330,7022,733,7864,4995
+,1699,8022,731,662,8062
-,156,7449,8335,5092,8723
+,9375,13,8993,2557,5055
+,3917,8636,3152,7992,4277
+,5065,2366,2743,7149,5776
+,1604,8674,648,6835,7992
+,3966,794,4267,3321,6458
+,8597,360,60,424,4025
+,5250,9168,1160,3416,9059
+,9956,1817,5383,4416,1835
+,1172,4000,8958,8844,2055
+,7600,6113,6597,9006,4938
-,8597,360,60,424,4025
+,8293,2648,906,3589,1402
+,6016,1575,4359,6708,8290
+,6639,3807,122,382,3942
+,9889,875,249,6702,3199
+,8979,2925,5724,7882,9299
+,3245,8361,9812,8156,2455
+,1452,4744,3125,9600,6920
+,3594,4531,3169,1280,9284
+,2224,4408,323,1292,7985
+,830,869,3756,8336,3714
-,1604,8674,648,6835,7992
+,7682,1265,4097,9671,7796
+,9867,5886,2507,1337,8953
+,2472,5606,794,8326,3538
+,9270,9250,6472,4752,2390
+,6037,2105,1995,897,4958
+,824,9584,2498,3733,2754
+,2330,5079,8625,795,2625
+,2895,3567,6158,1138,5763
+,6908,6066,4632,2055,2436
+,6242,1936,8918,6132,8723
-,6037,2105,1995,897,4958
+,4953,4256,6903,9782,5556
+,5607,3473,4641,4049,3016
+,8877,1924,3855,8867,2446
+,5156,7513,8786,9399,1405
+,8768,9504,6856,5618,7124
+,5405,9051,1494,9945,7655
+,6691,786,5102,8735,8434
+,1554,9301,7081,6056,9549
+,496,932,56,7417,6161
+,4773,385,1233,2502,6586
-,9270,9250,6472,4752,2390
+,2206,9503,1954,1381,459
+,2863,6577,3918,3681,9263
+,4641,7991,7777,6972,2570
+,5809,5178,6663,8865,5640
+,3347,1154,4808,2807,7063
+,4116,5883,8785,2458,4263
+,5674,699,1312,6509,361
+,8756,7509,6697,9704,4019
+,757,6288,3745,623,8958
+,3065,1416,5726,6898,9178
-,6691,786,5102,8735,8434
+,1464,2317,2299,8166,3530
+,4605,976,7517,3285,4860
+,4976,5954,8429,8973,3443
+,3794,9448,8597,404,6865
+,2728,5175,664,5324,3422
+,5779,1201,8072,6163,8606
+,5122,4901,4846,9315,2329
+,1251,2899,8826,8630,9996
+,7047,9809,27,2804,7161
+,5823,995,4733,9194,1348
-,6639,3807,122,382,3942
+,3977,3012,8304,454,11
+,4833,5022,2905,255,1200
+,7764,5647,7437,5804,6607
+,6878,1854,1013,6360,8585
+,5075,6259,8367,2006,4945
+,8619,9079,3853,6559,8664
+,158,5720,9767,4107,6083
+,4918,5919,3259,4026,704
+,1367,7589,7141,4792,3654
+,3527,1000,7346,3775,8240
-,2224,4408,323,1292,7985
+,8854,2346,6199,2102,7159
+,131,1243,7149,6370,742
+,2668,3730,8365,1328,4029
+,825,440,4070,9045,8014
+,7590,1913,4350,2896,1163
+,6617,1075,2064,7953,2485
+,255,6098,3846,8883,8625
+,2726,7500,4633,1977,6274
+,9815,5326,4083,8522,6276
+,9554,6329,4899,9340,5002
-,2895,3567,6158,1138,5763
+,352,8703,9921,3446,7949
+,2847,738,9546,8450,5740
+,3492,8518,2210,4180,7796
+,907,138,7445,4616,7711
+,1532,7295,475,3762,4519
+,1212,4503,7233,9026,5165
+,870,8424,2982,8439,9157
+,4151,8773,5591,2695,3354
+,5815,95,1191,8481,4753
+,6676,3608,6843,8175,3970
-,9375,13,8993,2557,5055
+,2714,9749,2569,3231,9558
+,2402,2929,9129,7883,6152
+,7744,9607,7703,7389,302
+,2172,4195,5370,6053,7096
+,3098,5663,2723,7186,1944
+,6761,1136,4822,7361,6802
+,9776,6873,7140,7695,4449
+,8481,3877,4414,1304,6588
+,9854,5670,5539,7786,4927
+,8255,5379,830,2139,1850
-,5065,2366,2743,7149,5776
+,6516,4522,8686,8753,396
+,8257,293,1196,7741,9475
+,7647,7894,929,3011,4512
+,105,8570,7469,535,5471
+,5277,2321,5201,437,9712
+,6207,5423,9460,1644,7842
+,9081,8939,4278,9411,9390
+,8265,2968,3878,8011,6790
+,2155,6694,7079,9122,6067
+,5118,8514,3270,8034,5430
-,2172,4195,5370,6053,7096
+,4964,8194,2510,6993,1752
+,155,8246,3423,6457,7204
+,4444,6710,6085,672,1116
+,5571,1105,2223,1884,146
+,5791,4532,6772,5605,8978
+,8903,8554,6148,3937,5824
+,7224,3329,9153,9683,8500
+,7252,8786,6242,6849,3001
+,8212,6543,5236,4484,7887
+,2257,557,2744,5577,1738
-,1464,2317,2299,8166,3530
+,8855,8091,1365,5436,7292
+,6404,2516,4899,8072,3949
+,1504,1706,7179,726,5716
+,1939,1500,6824,1710,6656
+,464,7042,5647,9845,4077
+,498,7539,1152,4188,2546
+,7984,3485,5304,9755,8896
+,5859,7214,7839,9702,5023
+,5893,4715,9832,8030,6573
+,585,6294,552,1457,67
-,4116,5883,8785,2458,4263
+,286,2044,5065,4826,2481
+,4526,6176,2683,563,1259
+,2703,9070,7939,8988,293
+,7036,8023,1430,9061,439
+,3560,7814,2733,6403,1739
+,9148,1132,15,5396,2981
+,4560,8909,224,3040,4590
+,9176,3243,1638,7084,2570
+,8871,8873,8074,650,5517
+,6403,865,3889,9127,6663
-,3560,7814,2733,6403,1739
+,5561,2861,8889,8762,3929
+,9503,6116,6858,6546,6823
+,9037,2549,322,3486,8380
+,2873,1661,4438,5884,210
+,6412,2832,3023,5306,6582
+,3379,377,371,2351,6438
+,8036,3716,4792,6402,6352
+,7087,7827,4707,9189,9364
+,7418,3236,8894,3771,223
+,5266,3419,7309,114,6953
-,5823,995,4733,9194,1348
+,655,1185,247,7380,8704
+,8446,925,2295,78,9505
+,7883,5852,4635,1637,6277
+,102,5787,3247,1430,531
+,758,3858,1098,1863,7417
+,9249,2405,9786,1021,1482
+,8537,1670,828,423,819
+,619,7194,7078,8356,9269
+,139,3307,3984,1260,7926
+,9665,915,4813,3316,6737
-,4976,5954,8429,8973,3443
+,3087,6726,6971,4841,4907
+,2785,3688,9537,8476,7161
+,2990,8103,3997,4207,4263
+,509,6535,313,8601,3902
+,217,1253,5417,6326,3148
+,197,6492,2598,2638,3177
+,2094,5972,2746,8564,5784
+,8764,6754,9514,6683,5438
+,4894,8434,1523,4660,1940
+,6120,6413,4533,4132,4795
-,9665,915,4813,3316,6737
+,8504,1465,571,4037,7102
+,7119,1188,1662,2592,4821
+,5337,3397,3315,1466,8854
+,7571,3420,3400,6633,8142
+,2470,3056,4751,3013,3832
+,682,6851,2005,1917,3094
+,1896,4051,546,4271,2957
+,6393,9679,443,2880,5374
+,9154,9137,2311,1355,4520
+,2276,8248,8397,5735,1466
-,5122,4901,4846,9315,2329
+,4965,1374,1303,9626,8802
+,6409,9741,6411,7256,9708
+,7107,5707,5191,5398,4105
+,7593,8111,8899,6432,5126
+,5376,803,3982,472,103
+,6968,8920,4096,5498,4891
+,2682,7071,7288,9256,554
+,6468,5347,9093,8990,1194
+,8356,7598,9518,8351,3603
+,3193,7430,6529,8769,4052
