OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,4900,6859,3958,7219,6303,2867,4117,8132,9516,5694,4707,8856,3822,2658,7405,2962,9842,9845,8250,262
+,650,6313,8241,3721,7662,5934,8595,2386,9121,8732,9068,8804,83,4203,7677,6341,8730,3252,1561,9661
+,1958,7980,4870,191,8058,892,7452,6566,3482,7194,8285,8533,1638,4284,7360,620,733,7242,2788,974
+,1146,1718,5860,3511,3637,6116,4112,8370,3143,2897,5823,3932,8029,7844,9893,1944,2367,7828,1518,1250
+,3204,1375,5958,3260,6061,1801,3017,73,3476,3258,7390,3087,187,3295,2667,9784,9274,2961,600,7951
+,2915,8761,3119,1181,9828,5116,7270,1512,2127,7750,6395,8462,7984,8890,9389,4220,2088,5077,3176,4659
+,1479,8588,6602,3422,4048,1022,9292,9991,1487,6554,5897,241,1578,3024,5679,5406,7720,9786,8750,1306
+,7317,2853,9475,5235,2304,4207,7167,8308,5985,6955,206,3519,9386,4902,1361,5096,2917,5675,6398,5486
+,7167,8698,6081,2592,9026,7083,9025,3228,425,3092,2671,9807,7453,8004,7100,4688,2131,311,1813,438
+,2010,5151,4155,5691,6760,7779,3872,5475,3767,209,9230,238,6688,1138,9643,4794,6032,9758,5143,2993
-,1146,1718,5860,3511,3637,6116,4112,8370,3143,2897,5823,3932,8029,7844,9893,1944,2367,7828,1518,1250
+,7711,7824,6478,6863,3340,4328,1983,5358,3060,7378,2585,9572,9569,9264,2467,9660,7331,9521,1729,8652
+,875,6022,8871,6919,1650,4062,1619,9412,5725,4916,6611,4348,2976,1882,9665,8528,9265,5362,2736,19
+,6958,7832,833,1161,2155,4084,6633,4905,6849,2397,7391,2716,5018,2441,4268,1709,8061,5451,1201,391
+,2043,7701,898,9623,5177,1164,9773,2074,2537,9405,2094,9663,4935,4265,6475,4591,867,4773,6609,3785
+,1621,1754,8643,6514,9846,5537,1077,6706,878,9832,9730,4620,1365,9087,4629,6684,3320,4837,3280,8533
+,3738,9377,6313,5976,2788,4610,9904,8818,2427,5729,3359,4882,3589,4216,6965,6378,4698,9816,3846,2966
+,2369,4231,7448,8401,8858,4378,3539,3893,6867,4774,6024,5585,7461,9651,3165,3752,9589,9893,2548,3972
+,7519,7155,6492,9964,1843,4794,6456,3445,5372,4695,773,3986,7252,3336,2068,5256,9074,1909,2941,9781
+,3462,1937,3672,2130,8312,8466,1377,2149,3916,8115,5605,8501,5719,5807,5643,4023,4526,1729,6963,9520
+,2570,1956,1604,2866,536,9311,6695,206,24,6202,774,7110,6383,4663,4092,8498,4805,5006,4985,7763
-,1479,8588,6602,3422,4048,1022,9292,9991,1487,6554,5897,241,1578,3024,5679,5406,7720,9786,8750,1306
