OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
+,690,1780,903,7337,9935,7840,1163,1481,3787,10700,13402,14832,5768,12684,12345
+,3641,6147,787,5381,14552,3571,14174,4141,5254,937,14698,7220,33,13846,2796
-,690,1780,903,7337,9935,7840,1163,1481,3787,10700,13402,14832,5768,12684,12345
+,12260,9682,14038,12229,9907,6243,5031,7583,1500,7314,14020,2935,1235,10841,13650
+,4498,3295,2460,6081,11115,1726,5549,10696,9525,9392,10660,9255,3214,11691,8322
-,3641,6147,787,5381,14552,3571,14174,4141,5254,937,14698,7220,33,13846,2796
+,8985,2882,11243,7431,9634,5336,9918,13251,12374,224,1319,7291,7327,4005,2257
+,11530,10203,5438,5782,1262,8654,4379,11223,6887,285,185,1635,4833,1361,8984
-,12260,9682,14038,12229,9907,6243,5031,7583,1500,7314,14020,2935,1235,10841,13650
+,7333,13897,1216,9828,10596,36,11129,2620,11304,2167,12316,9740,7135,5131,12378
+,7887,3967,5057,1051,6873,961,12421,5602,13487,545,3842,2593,3407,681,3926
-,11530,10203,5438,5782,1262,8654,4379,11223,6887,285,185,1635,4833,1361,8984
+,5290,9917,6327,1729,1934,12123,8130,9294,11057,21,10294,9351,9431,1999,8006
+,3051,2934,3594,3705,573,9282,3134,10265,13614,7880,4581,11166,13482,2075,7222
-,7887,3967,5057,1051,6873,961,12421,5602,13487,545,3842,2593,3407,681,3926
+,11619,3225,11665,6342,8302,782,7925,11922,10744,1569,7281,3345,13663,14494,11937
+,10508,5854,5916,3540,13146,5694,5715,14664,9029,11619,3438,14377,588,11762,759
-,7333,13897,1216,9828,10596,36,11129,2620,11304,2167,12316,9740,7135,5131,12378
+,13464,6508,843,2789,14996,1983,2757,10048,11658,8455,13900,9100,5680,968,9151
+,3053,10449,302,13539,1130,11157,9637,10196,6948,10028,7322,3430,9193,164,13096
-,13464,6508,843,2789,14996,1983,2757,10048,11658,8455,13900,9100,5680,968,9151
+,8727,4601,11209,9569,689,7151,2329,5577,7528,11729,11032,8738,13430,985,2898
+,11491,9132,8949,12440,5148,12690,1051,10263,10147,3390,2626,2694,1175,1022,14926
-,3053,10449,302,13539,1130,11157,9637,10196,6948,10028,7322,3430,9193,164,13096
+,5974,4908,5593,8576,1302,7178,10868,8590,7512,8789,6166,2535,5140,3648,3616
+,2819,9125,13425,2227,1861,6287,10205,14557,3648,14244,14432,7782,11567,3178,315
-,5290,9917,6327,1729,1934,12123,8130,9294,11057,21,10294,9351,9431,1999,8006
+,13058,2689,11085,13601,6069,4065,14277,11042,9583,9731,1705,4347,2174,1647,9648
+,6736,1190,11391,13162,6855,4543,14859,8017,5571,5756,11569,14167,9975,9095,10553
-,10508,5854,5916,3540,13146,5694,5715,14664,9029,11619,3438,14377,588,11762,759
+,9070,429,12106,9995,11926,9618,6301,9189,912,6883,12869,2537,11402,10955,2811
+,6291,663,13287,2233,1548,4264,8723,3136,5949,3774,13882,5981,10429,8267,8726
-,2819,9125,13425,2227,1861,6287,10205,14557,3648,14244,14432,7782,11567,3178,315
+,14145,2427,4328,1741,4471,8370,8214,10664,6454,9210,218,3275,6608,3955,8257
+,2237,882,11314,1110,1623,8443,3556,11391,9123,10870,14112,3231,8107,7765,8433
-,11619,3225,11665,6342,8302,782,7925,11922,10744,1569,7281,3345,13663,14494,11937
+,6973,13715,6162,2271,9089,10105,4803,7680,4855,1766,5465,6944,9049,14373,12692
+,6370,10183,12206,2942,2781,14030,1966,14566,4709,14715,2814,14228,3053,8325,2216
-,6291,663,13287,2233,1548,4264,8723,3136,5949,3774,13882,5981,10429,8267,8726
+,552,13324,5861,7317,4591,3774,14110,9290,12848,2097,14351,2245,5933,14920,5903
+,2838,12933,11717,6347,32,5184,14935,4623,19,13074,12598,14065,1704,9536,1979
-,8727,4601,11209,9569,689,7151,2329,5577,7528,11729,11032,8738,13430,985,2898
+,8739,7490,11621,2085,13154,13244,2251,12344,1171,2314,6654,12745,10811,1394,11453
+,10194,8950,1379,14539,11634,7221,5517,12384,1715,10732,5879,12548,3963,8971,8351
-,8985,2882,11243,7431,9634,5336,9918,13251,12374,224,1319,7291,7327,4005,2257
+,4404,12950,11692,1092,13669,13873,7606,14284,6934,4267,13150,10429,8765,2803,6773
+,13582,2180,9650,4459,2371,3199,1827,10148,10892,1249,1424,4170,6789,9014,1872
-,10194,8950,1379,14539,11634,7221,5517,12384,1715,10732,5879,12548,3963,8971,8351
+,12604,1075,329,14130,2920,13944,7277,3960,3202,11920,13744,13117,10261,13671,12131
+,2150,8642,8684,5895,1751,2544,13294,2923,11816,8557,7699,10260,660,13423,10102
-,13582,2180,9650,4459,2371,3199,1827,10148,10892,1249,1424,4170,6789,9014,1872
+,7619,2911,3549,6046,4708,7727,2876,2315,10520,12516,9520,5727,6701,5300,11108
+,7860,11191,2264,14999,9832,9918,14160,9287,6957,14984,8496,2823,10888,13903,11602
-,4404,12950,11692,1092,13669,13873,7606,14284,6934,4267,13150,10429,8765,2803,6773
+,4307,4003,7278,7955,7152,2683,14340,3825,13337,3898,6748,9394,12301,5743,9324
+,13841,10230,12355,6904,11188,13381,6341,2232,6991,10205,13611,12890,7382,10403,8759
-,2150,8642,8684,5895,1751,2544,13294,2923,11816,8557,7699,10260,660,13423,10102
+,1231,668,13527,5216,1512,9912,666,12989,1057,12609,2814,4548,4566,14083,4784
+,464,1015,8618,7982,6026,7055,11326,14810,10482,4146,2074,940,10129,9946,6580
-,2237,882,11314,1110,1623,8443,3556,11391,9123,10870,14112,3231,8107,7765,8433
+,8976,10663,852,1187,1848,6711,1645,8559,0,12117,14937,11429,6434,1253,4772
+,8725,6244,1503,8898,4325,4015,7650,12827,7391,2450,5535,9409,8306,8189,7830
-,8976,10663,852,1187,1848,6711,1645,8559,0,12117,14937,11429,6434,1253,4772
+,13220,195,7738,10817,3580,5608,14784,14501,1683,14363,9702,1958,11955,8802,6156
+,11299,10130,279,8070,9745,14576,2569,2885,10805,2670,10290,9377,10265,13248,13148
-,464,1015,8618,7982,6026,7055,11326,14810,10482,4146,2074,940,10129,9946,6580
+,7280,2579,3701,13926,7491,4088,8687,8564,1552,4425,463,7639,14866,4535,13765
+,4398,12346,13001,12150,6800,7400,2357,4677,10566,11602,14339,11151,9215,14456,6097
-,5974,4908,5593,8576,1302,7178,10868,8590,7512,8789,6166,2535,5140,3648,3616
+,13137,6189,13110,6711,8297,246,6090,9824,8470,8430,13569,8154,14805,9435,9089
+,7433,12468,12669,4997,12736,11691,3354,3923,1753,13579,482,2068,14588,5481,9120
-,6370,10183,12206,2942,2781,14030,1966,14566,4709,14715,2814,14228,3053,8325,2216
+,2971,4956,11924,12340,12980,63,7239,6212,7441,13093,10027,3181,10593,6030,10940
+,13298,3072,4326,10820,14011,12959,14401,13642,7759,13941,3427,6870,11206,784,789
